,,,,,,,,
,https://doi.org/10.1016/j.cels.2019.02.009,fenchone,,FEN092023,,,,CC1(C)C(=O)C2(C)CCC1C2
,https://doi.org/10.1016/j.cels.2019.02.009,decanoic acid,,DEC092023,,,,CCCCCCCCCC(=O)O
,https://doi.org/10.1016/j.cels.2019.02.009,2-coumaranone,,COU092023,,,,O=C2Cc1ccccc1O2
,https://doi.org/10.1016/j.cels.2019.02.009,acethophenone,,ACE092023,,,,O=C2Cc1ccccc1O2
,https://doi.org/10.1016/j.cels.2019.02.009,hexanoic acid,,HEX092023,,,,CCCCCC(=O)O
,https://doi.org/10.1016/j.cels.2019.02.009,2-bromooctanoic acid,,2BRO092023,,,,CCCCCCC(Br)C(=O)O
,"https://doi.org/10.1016/j.cels.2019.02.009
https://doi.org/10.1021/acs.jafc.1c04195",nonanal,,NON092023,citrus,,,CCCCCCCCC=O
,https://doi.org/10.1016/j.cels.2019.02.009,octanal,,OCT092023,,,,CCCCCCCC=O
,https://doi.org/10.1016/j.cels.2019.02.009,6-bromohexanoic acid,,6BRO092023,,,,O=C(O)CCCCCBr
,https://doi.org/10.1016/j.cels.2019.02.009,Heptanal,,HEP2092023,,,,CCCCCCC=O
,https://doi.org/10.1016/j.cels.2019.02.009,trans-2-methyl-2-butenal,,TRA092023,,,,C/C=C(C)/C=O
,https://doi.org/10.1016/j.cels.2019.02.009,cyclobutanecarboxylic acid,,CYC092023,,,,O=C(O)C1CCC1
,https://doi.org/10.1016/j.cels.2019.02.009,pentanoic acid,,PEN092023,,,,CCCCC(=O)O
,https://doi.org/10.1016/j.cels.2019.02.009,benzophenone,,BEN092023,,,,O=C(c1ccccc1)c2ccccc2
,https://doi.org/10.1016/j.cels.2019.02.009,piperonal,,PIP092023,,,,O=Cc2ccc1OCOc1c2
,10.1016/j.jfoodeng.2017.12.020 ,menthol,mentol,MEN202023,,,,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
,DOI: 10.1016/j.yrtph.2021.104964,perilla alcohol,alcohol perilílico,PER642023,origen de la ruta metabólica metavanalato,"p-mentha-1,8-dien-7-ol",,C=C(C)C1C/C=C(O)\CC1
,DOI: 10.1016/j.yrtph.2021.104964,Basic Blue 124,,,,3-Amino-7-(dimethylamino)-2- methoxyphenoxazin-5-ium chloride,,COc3cc2nc1ccc(N(C)C)cc1[o+]c2cc3N
,DOI: 10.1016/j.yrtph.2021.104964,DAIDZEIN,daidzeina,,,7-Hydroxy-3-(4-hydroxyphenyl) chromen-4-one,486-66-8,COc1cc(O)ccc1C=O.C=C(C)c1ccc(O)cc1
,DOI: 10.1016/j.yrtph.2021.104964,ASCORBIC ACID,ácido ascórbico,,,"5-((s)-1,2-dihidroxietil)-3,4-dihidroxifuran-2(5H)-ona",50-81-7,[H][C@]1([C@H](O)CO)OC(=O)/C(O)=C1/O
