ID,SMILES,SMILES_chiral,SMILES_no_chiral
,COc3cc2nc1ccc(N(C)C)cc1[o+]c2cc3N,COc1cc2nc3ccc(N(C)C)cc3[o+]c2cc1N,COc1cc2nc3ccc(N(C)C)cc3[o+]c2cc1N
,COc1cc(O)ccc1C=O.C=C(C)c1ccc(O)cc1,C=C(C)c1ccc(O)cc1,C=C(C)c1ccc(O)cc1
,[H][C@]1([C@H](O)CO)OC(=O)/C(O)=C1/O,OCC(O)c1oc(O)c(O)c1O,OCC(O)c1oc(O)c(O)c1O
,COc3ccc(c2coc1cc(O)ccc1c2=O)cc3,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1
,COc3ccc(c2coc1cc(O)cc(O)c1c2=O)cc3,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
,Cc1occc(=O)c1O,Cc1occc(=O)c1O,Cc1occc(=O)c1O
,C=CC(C)(O)CC/C=C(C)/C,C=CC(C)(O)CCC=C(C)C,C=CC(C)(O)CCC=C(C)C
,C[C@@H](O)c1ccccc1,C[C@@H](O)c1ccccc1,CC(O)c1ccccc1
,CC(=O)OC(C)c1ccccc1,CC(=O)OC(C)c1ccccc1,CC(=O)OC(C)c1ccccc1
,CC(=O)c1ccccc1,CC(=O)c1ccccc1,CC(=O)c1ccccc1
,CC/C=C\CCOC(C)=O,CC/C=C\CCOC(C)=O,CCC=CCCOC(C)=O
,OCCc1ccccc1,OCCc1ccccc1,OCCc1ccccc1
,[H][C@](O)(C=C)CCCCC,C=C[C@H](O)CCCCC,C=CC(O)CCCCC
,C=C(C)[C@H]1C/C=C(C)\CC1,C=C(C)[C@H]1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1
,CCOC(=O)/C=C/c1ccccc1,CCOC(=O)/C=C/c1ccccc1,CCOC(=O)C=Cc1ccccc1
,O=c2c(c1ccc(O)cc1)coc3cc(O)cc(O)c23,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
,CC(=O)OCc1ccccc1,CC(=O)OCc1ccccc1,CC(=O)OCc1ccccc1
,OC/C=C/c1ccccc1,OC/C=C/c1ccccc1,OCC=Cc1ccccc1
,CCCCC2OC(=O)c1ccccc12,CCCCC1OC(=O)c2ccccc21,CCCCC1OC(=O)c2ccccc21
,O=C/C=C/c1ccccc1,O=C/C=C/c1ccccc1,O=CC=Cc1ccccc1
,OCc1ccccc1,OCc1ccccc1,OCc1ccccc1
,COC(=O)/C=C/c1ccccc1,COC(=O)/C=C/c1ccccc1,COC(=O)C=Cc1ccccc1
,C=c2ccc1ccccc1o2,C=C1C=Cc2ccccc2O1,C=C1C=Cc2ccccc2O1
,C=CC(C)(CC/C=C(C)/C)OC(C)=O,C=CC(C)(CCC=C(C)C)OC(C)=O,C=CC(C)(CCC=C(C)C)OC(C)=O
,C/C(=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)\CCCC1(C)C)/C=C/C=C(C)/C=C/C2=C(C)/CCCC2(C)C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
,CC(=O)/C1=N/CCS1,CC(=O)C1=NCCS1,CC(=O)C1=NCCS1
,CCCCCC(=O)C(C)C(C)=O,CCCCCC(=O)C(C)C(C)=O,CCCCCC(=O)C(C)C(C)=O
,C/C=C/C(=O)/C1=C(C)/C=C\CC1(C)C,CC=CC(=O)C1=C(C)C=CCC1(C)C,CC=CC(=O)C1=C(C)C=CCC1(C)C
